title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Philippine Exporter's Manual,,Bureaw of Export Trade Promo,,,,1990,303,,,,,,,,,,,,
Philippine Exporter's Manual: Gen. Export Procedures & Support Services to Exporters,,Bureaw of Export Trade Promo,,,,1990,243,,,,,,,,,,,,
Economics Explained,"Heilbroner, Robert","Simon & Schuster, Inc",,,,1982,,,,,,,,,,,,,
Machillan English,"Thobeur, Tina",Machillan Pub. Co. Inc.,,,,1984,552,,,,,,,,,,,,
Machillan English,,Machillan Pub. Co. Inc.,,,,1984,,,,,,,,,,,,,
Plant Design & Economics for Chemical Engineer,"Peters, Max A.",Mc Graw Hill Inc.,,,,1980,973,,,,,,,,,,,,
Chemistry: A Conseptual Approach,"Mortimer, Charles E.",D. Van Nostrand,,,,1975,756,,,,,,,,,,,,
Manual of Mineralogy,"Herilbut, Cornelius",John Wiley & Son,549,,,1977,532,,,,,,,,,,,,
Manual of Mineralogy,"Herilbut, Cornelius",John Wiley & Son,549,,,1977,532,,,,,,,,,,,,
Chemilcal Process Industries,"Shrene, R. Morris",Mc Graw Hill Inc.,660.2,,,1977,814,,,,,,,,,,,,
Chemical Reaction Engineering,"Lovenspiel, Octave",John Wiley & Son,,,,1962,501,,,,,,,,,,,,
An Introduction to Embryology,"Balionsky, B.",Saunders Coll. Pub.,,,,1992,768,,,,,,,,,,,,
Hugot sa Sinapupunan,"Bantug, Marie Christine",Hasik Inc.,,,,1992,347,,,,,,,,,,,,
kaya Tao,"Okamura, Jonathan ed.",,,,,1986,146,,,,,,,,,,,,
Computers in Endocriminology,"Rodbard, David","Serono, Symposia Pub.",,,,1984,349,,,,,,,,,,,,
Exclusive Arterial Diseases of the Lower Limbs in young Patients,"Fiorani, P.","Serono, Symposia Pub.",,,,1984,314,,,,,,,,,,,,
Thymic Factor Theraphy,"Byron, N. A.","Serono, Symposia Pub.",,,,1984,441,,,,,,,,,,,,
Cytobiology of Luehaemias and Lymphonas,"Quaglino, Dennis","Serono, Symposia Pub.",,,,1985,,,,,,,,,,,,,
The Endocrine Physiology of Pregnancy & the Peripartal Period,"jaffe, R. B.","Serono, Symposia Pub.",,,,1985,,,,,,,,,,,,,
Thyroid Disorder Associated w/ Indocrine Deficiency and Excess,"Hall, R.","Serono, Symposia Pub.",,,,1985,,,,,,,,,,,,,
Immunopharmacology,"Miescher, Peter A.","Serono, Symposia Pub.",,,,1985,,,,,,,,,,,,,
The Adrenal Glands & Hypertension,"Mantero, F.","Serono, Symposia Pub.",,,,1985,,,,,,,,,,,,,
Reproductive Medicine,"Steinberger, E.","Serono, Symposia Pub.",,,,1986,504,,,,,,,,,,,,
Monoclonal Antibodies: Basic Principles Experiments and Clinical,"Forti, G.","Serono, Symposia Pub.",,,,1986,325,,,,,,,,,,,,
Acute Brain Ischemia Medical and Surgical Theraphy,"Battistini, Noe","Serono, Symposia Pub.",,,,1986,368,,,,,,,,,,,,
Biological Regulation of Cell Proliferation,"Baserga, R.","Serono, Symposia Pub.",,,,1986,367,,,,,,,,,,,,
The Contral Follicle Dent. Ovulation & Luteal Function: Lesson From Vitro Fertilization,"Naftolin, Frederick","Serono, Symposia Pub.",,,,1986,354,,,,,,,,,,,,
Fertility Regulation Today & Tomorrow,"Diczafaluzy, E.","Serono, Symposia Pub.",,,,1987,317,,,,,,,,,,,,
Hypoglycemia,"Andreani, D.","Serono, Symposia Pub.",,,,1987,312,,,,,,,,,,,,
"Genotypic, Phenotypic & Functional Aspects of Haematopoiecis","Grignano, F.","Serono, Symposia Pub.",,,,1987,408,,,,,,,,,,,,
Inhibin Non-Steroidal Regulation of Follicle Stimulation Hormone,"Burger, H. G.","Serono, Symposia Pub.",,,,1987,315,,,,,,,,,,,,
Fundamentals in Clinic in Pineal Research,"Trentini, G. P.","Serono, Symposia Pub.",,,,1987,392,,,,,,,,,,,,
Andrology and Human Reproduction,"Negro-Vilar, A.","Serono, Symposia Pub.",,,,1988,341,,,,,,,,,,,,
Preservation of Tubo-Ovarian Function in Gynlcologic Benign & Malignant Disease,"Ichimoe, K.","Serono, Symposia Pub.",,,,1988,680,,,,,,,,,,,,
Implantation in Mammals,"Gianaroli, L.","Serono, Symposia Pub.",,,,1983,328,,,,,,,,,,,,
Reproductive Medicine,"Frojese, G.","Serono, Symposia Pub.",,,,1983,336,,,,,,,,,,,,
Reproductive Immunology,"Dondero, F.","Serono, Symposia Pub.",,,,1983,388,,,,,,,,,,,,
Makabagong Balarilang Filipino,"Santiago, Alfonso",Rex Printing Co. Inc,,,,1997,294,,,,,,,,,,,,
Sining ng Pakikipagtalastasan,"Tomangan, Alcontiser",National Book Store Inc,302.2,,,1986,223,,,,,,,,,,,,
Ang Sining ng Pakikipagtalastasan sa Kolehiyo,"Santiago, Erlinda",National Book Store Inc,,,,1982,208,,,,,,,,,,,,
Retorika (Nilimbag 1994),"Rubin, Ligaya",Rex Printing Co. Inc,,,,1987,228,,,,,,,,,,,,
Tanging Gamit ng Filipino,"Guamen, Pructosa",Rex Printing Co. Inc,,,,1986,334,,,,,,,,,,,,
gamiting Pilipino Pagbasa at Pagsulat,"Baluez, Paz M.",Rex Printing Co. Inc,372.63,,,1990,266,,,,,,,,,,,,
Filipino Bilang Tanging Gamit,,Rex Printing Co. Inc,,,,1995,122,,,,,,,,,,,,
Panitikan ng Pilipinas,"Panganiban, Jose Villa",Rex Printing Co. Inc,899.2,,,1995,311,,,,,,,,,,,,
Swine Directory Manual,(Luz P. Nepoles) - Pres ITCPH Foundation Inc,ITCPH Foundation Inc.,,,,1995,103,,,,,,,,,,,,
Effective Writing,"Alcantara, Rebeca D.",Phoenix Pub. House,,,,1988,173,,,,,,,,,,,,
Philippine National Biography (1979),National Library,National Library,,,,1987,486,,,,,,,,,,,,
Philippine National Biography (1985),National Library,National Library,,,,1989,302,,,,,,,,,,,,
Philippine National Biography (1986),National Library,National Library,,,,1987,274,,,,,,,,,,,,
Philippine National Biography (1986 part 2),National Library,National Library,,,,1990,175,,,,,,,,,,,,
Philippine National Biography (1987),National Library,National Library,,,,1992,277,,,,,,,,,,,,
Philippine National Biography (1988),National Library,National Library,,,,1992,281,,,,,,,,,,,,
Philippine National Biography (1989),National Library,National Library,,,,1990,339,,,,,,,,,,,,
Philippine National Biography (1990),National Library,National Library,,,,1992,387,,,,,,,,,,,,
Philippine National Biography (1993),National Library,National Library,,,,1994,391,,,,,,,,,,,,
Philippine National Biography (1994),National Library,National Library,,,,1995,421,,,,,,,,,,,,
Philippine National Biography (1995),National Library,National Library,,,,1995,298,,,,,,,,,,,,
Philippine National Biography (1996),National Library,National Library,,,,1997,427,,,,,,,,,,,,
English-Tagalog Dictionary,"English, Leo James",,,,,1985,,,,,,,,,,,,,
Phil Plants and their Contained Nat. Pro.,"Santos, et. al.",,,,,1981,512,,,,,,,,,,,,
Phil Plants and their Contained Nat. Pro.,"Santos, et. al.",,,,,1981,513-1026,,,,,,,,,,,,
Phil Plants and their Contained Nat. Pro.,"Santos, et. al.",,,,,1981,1027-1547,,,,,,,,,,,,
Phil Plants and their Contained Nat. Pro.,"Santos, et. al.",,,,,1981,1548-2005,,,,,,,,,,,,
Phil Plants and their Contained Nat. Pro.,"Santos, et. al.",,,,,1981,2006-2121,,,,,,,,,,,,
Phil. Science Encyclopedia (Agriculture),Boncad. Nestor D.,,,,,1984,264,,,,,,,,,,,,
"Phil. Science Encyclopedia (Mathematics, Physical Science)","Arcullana, Emerenciana",,,,,1987,308,,,,,,,,,,,,
Phil. Science Encyclopedia (Biological Science),"Velasquez, Carmen C.",,,,,1983,693,,,,,,,,,,,,
Adventures in Forgotten Century,"Polotan, Kerima",,,,,,301,,2pcs,,,,,,,,,,
In Retrospect: Travel & Deplomacy,"Malolos, Octavio L.",,,,,,123,,,,,,,,,,,,
"Making Education Work: Governace in Management, Areas of Goverment in philippine Education",,,,,,,324,,,,,,,,,,,,
Making Education Work: The Educational Ladder,,,,,,,280,,,,,,,,,,,,
Transworld Education: The Premier International Magazine for Student,,,,,,,152,,,,,,,,,,,,
Basisc Laws Governing the Finacial System of the Philippines,,,,,,,823,,,,,,,,,,,,
